Files already downloaded and verified
Files already downloaded and verified
Saving  mask (task#:0)
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 756/1000(76%)

Task: 0 Train Epoch: 43 [0/5000 (0%)]	Loss: 0.374833
Task: 0 Train Epoch: 43 [1280/5000 (25%)]	Loss: 0.278419
Task: 0 Train Epoch: 43 [2560/5000 (50%)]	Loss: 0.557752
Task: 0 Train Epoch: 43 [3840/5000 (75%)]	Loss: 0.510458
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 761/1000(76%)

Task: 0 Train Epoch: 44 [0/5000 (0%)]	Loss: 0.413159
Task: 0 Train Epoch: 44 [1280/5000 (25%)]	Loss: 0.549747
Task: 0 Train Epoch: 44 [2560/5000 (50%)]	Loss: 0.534647
Task: 0 Train Epoch: 44 [3840/5000 (75%)]	Loss: 0.494448
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 747/1000(75%)

Task: 0 Train Epoch: 45 [0/5000 (0%)]	Loss: 0.382332
Task: 0 Train Epoch: 45 [1280/5000 (25%)]	Loss: 0.469612
Task: 0 Train Epoch: 45 [2560/5000 (50%)]	Loss: 0.392192
Task: 0 Train Epoch: 45 [3840/5000 (75%)]	Loss: 0.529828
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 762/1000(76%)

Task: 0 Train Epoch: 46 [0/5000 (0%)]	Loss: 0.334010
Task: 0 Train Epoch: 46 [1280/5000 (25%)]	Loss: 0.401197
Task: 0 Train Epoch: 46 [2560/5000 (50%)]	Loss: 0.318586
Task: 0 Train Epoch: 46 [3840/5000 (75%)]	Loss: 0.288251
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 759/1000(76%)

Task: 0 Train Epoch: 47 [0/5000 (0%)]	Loss: 0.313282
Task: 0 Train Epoch: 47 [1280/5000 (25%)]	Loss: 0.429031
Task: 0 Train Epoch: 47 [2560/5000 (50%)]	Loss: 0.443181
Task: 0 Train Epoch: 47 [3840/5000 (75%)]	Loss: 0.351266
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 764/1000(76%)

Task: 0 Train Epoch: 48 [0/5000 (0%)]	Loss: 0.398625
Task: 0 Train Epoch: 48 [1280/5000 (25%)]	Loss: 0.342121
Task: 0 Train Epoch: 48 [2560/5000 (50%)]	Loss: 0.379528
Task: 0 Train Epoch: 48 [3840/5000 (75%)]	Loss: 0.265110
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 772/1000(77%)

Task: 0 Train Epoch: 49 [0/5000 (0%)]	Loss: 0.317627
Task: 0 Train Epoch: 49 [1280/5000 (25%)]	Loss: 0.420081
Task: 0 Train Epoch: 49 [2560/5000 (50%)]	Loss: 0.335970
Task: 0 Train Epoch: 49 [3840/5000 (75%)]	Loss: 0.412299
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 775/1000(78%)

Task: 0 Train Epoch: 50 [0/5000 (0%)]	Loss: 0.443106
Task: 0 Train Epoch: 50 [1280/5000 (25%)]	Loss: 0.235593
Task: 0 Train Epoch: 50 [2560/5000 (50%)]	Loss: 0.237713
Task: 0 Train Epoch: 50 [3840/5000 (75%)]	Loss: 0.207178
Task: 0   Test set: Avg. loss: 0.0008, Accuracy: 759/1000(76%)

Task: 0 Train Epoch: 51 [0/5000 (0%)]	Loss: 0.426603
Task: 0 Train Epoch: 51 [1280/5000 (25%)]	Loss: 0.756344
